earthquake name,records name,earthquake date,earthquake time,lat,long,depth,mag,stn_code,stn_lat,stn_long,stn_height,rcd_date,rcd_time,frequency,rcd_duration,direction,scale_factor,max_pga,epi_dist,pick_index_manually,pick_index_kalkan,snr_db_kalkan,tc_5sec,tc_4sec,tc_3sec,tc_2sec,tc_1sec,Pd_5sec,Pd_4sec,Pd_3sec,Pd_2sec,Pd_1sec,Pga_5sec,Pga_4sec,Pga_3sec,Pga_2sec,Pga_1sec,Channel,Scale_factor,PGA_ew,Channel.1,Scale_factor.1,PGA_ns
19990104055000.knt,EHM0169901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,EHM016,33.7658,132.7088,2,1999-01-04, 05:51:47,100Hz,119,U-D,0.0002384185791015625,1.78,65.36406416019067,534,531.0,15.2287669444429,0.5336630807218992,0.6535643487590399,0.6998127326134477,0.7123904906065454,0.7848367760430208,0.0005851942234090048,0.0005851942234090048,0.0005851942234090048,0.0005851942234090048,0.0005851942234090048,0.5614938415846074,0.34573341443013716,0.34573341443013716,0.34573341443013716,0.34573341443013716,E-W,0.0002384185791015625,3.82,N-S,0.0002384185791015625,6.837
19990104055000.knt,KGW0039901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KGW003,34.2652,133.7896,12,1999-01-04, 05:51:57,100Hz,119,U-D,0.0002384185791015625,0.69,107.46240262981227,104,123.0,13.014231216490245,9.482979547835633,11.776514333271246,12.401246945478254,13.53855848347957,10.276894425101748,0.002024656165591345,0.002024656165591345,0.002024656165591345,0.002024656165591345,0.002001264199773756,0.13707938377309867,0.11484681998967285,0.10842452582461566,0.10842452582461566,0.10842452582461566,E-W,0.0002384185791015625,1.864,N-S,0.0002384185791015625,2.434
19990104055000.knt,KGW0059901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KGW005,34.1138,133.6354,2,1999-01-04, 05:51:52,100Hz,119,U-D,0.0002384185791015625,1.348,86.17264303922144,327,331.0,19.347609766811523,4.269233062292155,3.1150350195494303,1.9677503005730543,1.2980761253986501,1.3208518017597055,0.0020540263783767826,0.001781538179799648,0.00105255438956297,0.000556884204935578,0.000556884204935578,0.33346906230302936,0.33346906230302936,0.33346906230302936,0.33346906230302936,0.33346906230302936,E-W,0.0002384185791015625,4.062,N-S,0.0002384185791015625,3.622
19990104055000.knt,KOC0059901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC005,33.5934,133.6921,26,1999-01-04, 05:51:35,100Hz,119,U-D,0.0002384185791015625,5.644,44.98881097103155,1490,1492.0,23.898797173526013,1.6263214377748336,1.5986684712127965,1.6129709917974633,1.4307915444932453,0.9437744656636036,0.003717844232681162,0.003717844232681162,0.003717844232681162,0.003717844232681162,0.003717844232681162,5.6487519998791855,5.6487519998791855,5.6487519998791855,5.6487519998791855,5.6487519998791855,E-W,0.0002384185791015625,2.769,N-S,0.0002384185791015625,3.012
19990104055000.knt,KOC0079901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC007,33.5611,133.5271,2,1999-01-04, 05:51:34,100Hz,119,U-D,0.0002384185791015625,7.725,30.074023555190834,1409,1413.0,27.169997579780887,1.2413615643598301,1.2281430101181052,1.193828496122345,0.9518971419401712,0.569061327843057,0.0028938997761904315,0.0028938997761904315,0.0028938997761904315,0.0027225099492277933,0.002368974252684062,7.707674817198433,7.707674817198433,7.707674817198433,7.707674817198433,7.707674817198433,E-W,0.0002384185791015625,4.343,N-S,0.0002384185791015625,3.845
19990104055000.knt,KOC0089901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC008,33.7758,133.3465,560,1999-01-04, 05:51:41,100Hz,119,U-D,0.0002384185791015625,1.642,42.151949424060135,831,831.0,24.07808074715043,8.29682994390909,8.658239955311283,8.54670440572159,6.090450350052731,2.908242334657253,0.006002731277832765,0.006002731277832765,0.006002731277832765,0.005500124300980491,0.0031797866341292448,1.1239487458166844,1.1239487458166844,1.1239487458166844,1.1239487458166844,1.1239487458166844,E-W,0.0002384185791015625,17.666,N-S,0.0002384185791015625,16.559
19990104055000.knt,KOC0099901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC009,33.5742,133.1718,105,1999-01-04, 05:51:37,100Hz,119,U-D,0.0002384185791015625,2.254,20.868588440831775,994,995.0000000000001,22.953546351479737,3.3813723073667328,3.3905804959227197,2.32295393680127,1.1606004750441405,0.3990413994118463,0.004243406635672594,0.004014432101555162,0.0033734891677672145,0.0021876875143980626,0.0013810090615551816,2.2637837475039033,2.2637837475039033,2.2637837475039033,2.2637837475039033,2.2637837475039033,E-W,0.0002384185791015625,3.133,N-S,0.0002384185791015625,2.713
19990104055000.knt,KOC0109901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC010,33.3925,133.2896,4,1999-01-04, 05:51:35,100Hz,119,U-D,0.0002384185791015625,7.949,2.647841746275337,1090,1168.0,11.15455193319339,0.3468056789432366,0.5438351197988807,0.8327662884868734,0.7563286905634834,0.708474622277838,0.0026624473299947664,0.00248543325489463,0.000953637022345713,0.0006916739797470171,0.0006329724408112535,7.942613836201865,6.797006725571153,1.3410139939216301,1.3410139939216301,0.977309404395741,E-W,0.0002384185791015625,12.487,N-S,0.0002384185791015625,17.519
19990104055000.knt,KOC0129901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC012,33.1967,132.9758,150,1999-01-04, 05:51:39,100Hz,119,U-D,0.0002384185791015625,1.248,35.26522684637006,917,917.0,15.649445170625695,6.381458456433218,5.8913372914264786,4.515410647157807,2.8262706313676147,1.9665599520715096,0.003217039520093579,0.0031303100828514105,0.0030512474310502124,0.0020058704060254675,0.0010126696218419797,0.9043918457927055,0.9043918457927055,0.9043918457927055,0.7891801758454686,0.7891801758454686,E-W,0.0002384185791015625,5.211,N-S,0.0002384185791015625,5.568
19990104055000.knt,KOC0159901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,KOC015,32.937,132.7252,2,1999-01-04, 05:51:48,100Hz,119,U-D,0.0002384185791015625,2.384,72.11029336145918,508,508.0,25.55595502362607,2.3424885837073615,2.0484961999433233,2.362154118149944,2.110053532864003,1.5494957920891426,0.0012473094772400203,0.0011098815899091019,0.0010716279738427934,0.0010716279738427934,0.0008973668607979945,0.37616787582409683,0.37616787582409683,0.3668797618094167,0.3668797618094167,0.3668797618094167,E-W,0.0002384185791015625,3.261,N-S,0.0002384185791015625,1.828
19990104055000.knt,OKY0149901040550.UD,1999-01-04, 05:50:00,33.403,133.264,40,4.0,OKY014,34.4462,133.7876,49,1999-01-04, 05:51:02,100Hz,119,U-D,0.0002384185791015625,0.917,125.65601647524517,0,4.0,9.548667308640336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-W,0.0002384185791015625,2.396,N-S,0.0002384185791015625,3.306
19990108041000.knt,AKT0239901080410.UD,1999-01-08, 04:10:00,38.97,140.864,14,3.7,AKT023,39.1462,140.717,280,1999-01-08, 04:10:33,100Hz,119,U-D,0.0002384185791015625,2.02,23.344540115765838,1091,1109.0,26.723741994594388,0.8375229529374143,0.9340018916599101,2.4722651825039903,2.202636295472303,1.21302258028831,0.0030613592695384042,0.0030613592695384042,0.0030613592695384042,0.002791310893970967,0.0014185782574609597,1.9886114352412263,1.9886114352412263,0.6651577802773472,0.6651577802773472,0.6651577802773472,E-W,0.0002384185791015625,2.93,N-S,0.0002384185791015625,2.135
19990108041000.knt,IWT0099901080410.UD,1999-01-08, 04:10:00,38.97,140.864,14,3.7,IWT009,39.0187,141.4031,150,1999-01-08, 04:10:40,100Hz,119,U-D,0.0002384185791015625,2.02,46.90345766700745,845,907.0,20.33815479433796,5.174043155077902,6.14131365790348,8.98742154107562,8.484277360116803,8.26321672375607,0.0019437435650295112,0.0019437435650295112,0.0019437435650295112,0.0017546351544069105,0.0010759000720843438,0.4403395065122742,0.4403395065122742,0.37692932447646055,0.2956428544454159,0.24543069282368427,E-W,0.0002384185791015625,5.596,N-S,0.0002384185791015625,6.467
19990108041000.knt,IWT0109901080410.UD,1999-01-08, 04:10:00,38.97,140.864,14,3.7,IWT010,38.9334,141.1173,37,1999-01-08, 04:10:34,100Hz,119,U-D,0.0002384185791015625,2.419,22.278638638752415,1075,1093.0,14.838389147383342,2.6364261637617905,2.789454992552644,3.5226830401074265,2.268059598051263,1.4334285649442093,0.006335594407256187,0.005710575772673299,0.005129661474108608,0.002866373102267407,0.0014744464632538666,2.418080518929236,2.418080518929236,0.8813515081561154,0.5693551152223546,0.5693551152223546,E-W,0.0002384185791015625,6.276,N-S,0.0002384185791015625,4.846
19990108041000.knt,IWT0129901080410.UD,1999-01-08, 04:10:00,38.97,140.864,14,3.7,IWT012,39.3209,141.1378,64,1999-01-08, 04:10:40,100Hz,119,U-D,0.0002384185791015625,1.487,45.60626061679548,814,827.9999999999999,19.668049719188335,4.96233375671253,5.496606456139924,6.164064694270853,6.921928121597914,6.220184384888197,0.00197288236627718,0.00197288236627718,0.00197288236627718,0.0019676726254598733,0.0019676726254598733,0.27358936191288713,0.27358936191288713,0.23012733897793708,0.20951431889771674,0.20951431889771674,E-W,0.0002384185791015625,6.22,N-S,0.0002384185791015625,4.713
